PP,lon,lat
168.1748991,-0.5,-0.5
200.667877,-0.5,-1.5
136.2615726,-0.5,-10.5
134.5870868,-0.5,-11.5
137.2189709,-0.5,-12.5
146.9455866,-0.5,-13.5
161.039547,-0.5,-14.5
174.9353482,-0.5,-15.5
178.7330354,-0.5,-16.5
175.3639761,-0.5,-17.5
166.9271591,-0.5,-18.5
156.0575506,-0.5,-19.5
214.2229074,-0.5,-2.5
142.5392441,-0.5,-20.5
129.2873335,-0.5,-21.5
118.0504955,-0.5,-22.5
111.7055629,-0.5,-23.5
106.6899232,-0.5,-24.5
103.2668936,-0.5,-25.5
103.7334371,-0.5,-26.5
106.6946173,-0.5,-27.5
110.3387561,-0.5,-28.5
115.7273882,-0.5,-29.5
237.9350341,-0.5,-3.5
121.5553092,-0.5,-30.5
126.0139718,-0.5,-31.5
128.4604614,-0.5,-32.5
132.5352155,-0.5,-33.5
139.8617358,-0.5,-34.5
157.1691931,-0.5,-35.5
180.3979529,-0.5,-36.5
201.8002646,-0.5,-37.5
227.3114378,-0.5,-38.5
231.6530648,-0.5,-39.5
246.1742888,-0.5,-4.5
209.4037978,-0.5,-40.5
179.3947224,-0.5,-41.5
156.8965263,-0.5,-42.5
142.5353493,-0.5,-43.5
129.1852122,-0.5,-44.5
110.8822282,-0.5,-45.5
96.58198245,-0.5,-46.5
83.59284566,-0.5,-47.5
79.12676258,-0.5,-48.5
81.75014033,-0.5,-49.5
237.5939394,-0.5,-5.5
81.83279058,-0.5,-50.5
67.08430736,-0.5,-51.5
47.78431742,-0.5,-52.5
37.30440085,-0.5,-53.5
34.61843212,-0.5,-54.5
36.40386877,-0.5,-55.5
37.46469619,-0.5,-56.5
34.2117212,-0.5,-57.5
31.58990544,-0.5,-58.5
26.97925025,-0.5,-59.5
214.7281949,-0.5,-6.5
29.04371626,-0.5,-60.5
31.20844993,-0.5,-61.5
32.87706444,-0.5,-62.5
31.49158891,-0.5,-63.5
35.96217567,-0.5,-64.5
36.42210988,-0.5,-65.5
36.04053548,-0.5,-66.5
34.72133485,-0.5,-67.5
31.54935263,-0.5,-68.5
189.2435957,-0.5,-7.5
14.39276637,-0.5,-70.5
163.6400781,-0.5,-8.5
146.0287856,-0.5,-9.5
132.0501546,-0.5,0.5
123.816832,-0.5,1.5
140.9845461,-0.5,2.5
192.0600248,-0.5,3.5
233.0629122,-0.5,36.5
294.4037311,-0.5,57.5
252.4419014,-0.5,58.5
270.608752,-0.5,59.5
279.9866912,-0.5,61.5
276.5013086,-0.5,62.5
268.2559505,-0.5,63.5
246.696857,-0.5,64.5
222.9307567,-0.5,65.5
210.8180855,-0.5,66.5
187.5697398,-0.5,67.5
174.2778808,-0.5,68.5
160.3036338,-0.5,69.5
155.5174469,-0.5,70.5
141.4649284,-0.5,71.5
116.6733843,-0.5,72.5
114.6502669,-0.5,73.5
121.867006,-0.5,74.5
142.4959569,-0.5,75.5
150.9855107,-0.5,76.5
152.4943619,-0.5,77.5
107.730921,-0.5,78.5
21.32914755,-0.5,79.5
17.76950849,-0.5,80.5
12.59129998,-0.5,81.5
167.7424135,-1.5,-0.5
199.8341917,-1.5,-1.5
131.5571379,-1.5,-10.5
128.7191053,-1.5,-11.5
130.8176286,-1.5,-12.5
139.7035183,-1.5,-13.5
157.4401614,-1.5,-14.5
165.6333445,-1.5,-15.5
172.1917741,-1.5,-16.5
171.7810814,-1.5,-17.5
159.9245908,-1.5,-18.5
150.6939319,-1.5,-19.5
213.269344,-1.5,-2.5
136.918638,-1.5,-20.5
123.1364,-1.5,-21.5
112.3988179,-1.5,-22.5
105.9471407,-1.5,-23.5
102.0644524,-1.5,-24.5
99.135191,-1.5,-25.5
99.33118999,-1.5,-26.5
102.310394,-1.5,-27.5
106.5127529,-1.5,-28.5
112.339787,-1.5,-29.5
226.1077192,-1.5,-3.5
117.4015155,-1.5,-30.5
121.5138363,-1.5,-31.5
124.6275472,-1.5,-32.5
130.3471248,-1.5,-33.5
140.8415708,-1.5,-34.5
159.2005102,-1.5,-35.5
177.3734771,-1.5,-36.5
201.8016032,-1.5,-37.5
230.6673431,-1.5,-38.5
230.257237,-1.5,-39.5
228.7617596,-1.5,-4.5
204.7043474,-1.5,-40.5
180.6378256,-1.5,-41.5
160.4707525,-1.5,-42.5
142.6655504,-1.5,-43.5
126.8317938,-1.5,-44.5
112.0944942,-1.5,-45.5
98.97868491,-1.5,-46.5
87.02469436,-1.5,-47.5
83.64854972,-1.5,-48.5
83.9446023,-1.5,-49.5
220.588812,-1.5,-5.5
78.66802259,-1.5,-50.5
59.26339974,-1.5,-51.5
46.30219539,-1.5,-52.5
36.01700097,-1.5,-53.5
35.15923855,-1.5,-54.5
36.26149427,-1.5,-55.5
38.16094114,-1.5,-56.5
35.6410881,-1.5,-57.5
32.71778915,-1.5,-58.5
26.98816538,-1.5,-59.5
199.81336,-1.5,-6.5
28.65974525,-1.5,-60.5
29.34503213,-1.5,-61.5
30.50702519,-1.5,-62.5
29.903191,-1.5,-63.5
33.20311024,-1.5,-64.5
34.24135736,-1.5,-65.5
35.60893848,-1.5,-66.5
33.79704513,-1.5,-67.5
31.26193628,-1.5,-68.5
26.4236249,-1.5,-69.5
184.847824,-1.5,-7.5
16.61643328,-1.5,-70.5
163.6021802,-1.5,-8.5
142.4461005,-1.5,-9.5
135.3668016,-1.5,0.5
125.8480401,-1.5,1.5
149.6821541,-1.5,2.5
243.4161259,-1.5,3.5
239.4376777,-1.5,36.5
476.8882415,-1.5,4.5
308.0700371,-1.5,58.5
274.3253897,-1.5,61.5
274.4034336,-1.5,62.5
258.3988225,-1.5,63.5
